Rodada,accuracy,precision,recall,specificity,f2,params,time_train,time_test,time_total
33,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,"{'C': 10, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5878828999993857,0.0010129000002052635,0.588895799999591
34,0.9714285714285714,0.98,0.98,0.95,0.9799999999999999,"{'C': 40, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.5538341000010405,0.0008691999992151977,0.5547033000002557
35,0.9428571428571428,0.9423076923076923,0.98,0.85,0.9496124031007752,"{'C': 20, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.7723929999992833,0.0009793000008357922,0.7733723000001191
36,0.9,0.8771929824561403,1.0,0.65,0.8992805755395682,"{'C': 10, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.5630392000002757,0.001858600000559818,0.5648978000008356
37,0.9428571428571428,0.9791666666666666,0.94,0.95,0.9710743801652891,"{'C': 20, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.5478113000008307,0.0009062999997695442,0.5487176000006002
38,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,"{'C': 30, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.5652102000003651,0.0008611999983259011,0.566071399998691
39,0.9,0.9056603773584906,0.96,0.75,0.9160305343511451,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.551225200000772,0.0009686000012152363,0.5521938000019873
40,0.9714285714285714,0.9615384615384616,1.0,0.9,0.9689922480620154,"{'C': 40, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.6784741999999824,0.001074599998901249,0.6795487999988836
41,0.8714285714285714,0.8727272727272727,0.96,0.65,0.888888888888889,"{'C': 30, 'Gamma': 0.03, 'Kernel': 'rbf'}",0.6259903999998642,0.0008883000009518582,0.626878700000816
42,0.8714285714285714,0.8596491228070176,0.98,0.6,0.881294964028777,"{'C': 10, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.6082864999989397,0.0009535999997751787,0.6092400999987149
43,0.8857142857142857,0.875,0.98,0.65,0.8941605839416058,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.6396273999998812,0.0011142000003019348,0.6407416000001831
44,0.9285714285714286,0.9090909090909091,1.0,0.75,0.9259259259259258,"{'C': 40, 'Gamma': 0.02, 'Kernel': 'rbf'}",0.6390188000004855,0.0010332000001653796,0.6400520000006509
45,0.9,0.9056603773584906,0.96,0.75,0.9160305343511451,"{'C': 10, 'Gamma': 0.02, 'Kernel': 'rbf'}",0.6505192000004172,0.0011556999997992534,0.6516749000002164
46,0.8857142857142857,0.875,0.98,0.65,0.8941605839416058,"{'C': 10, 'Gamma': 0.03, 'Kernel': 'rbf'}",0.6287422999994305,0.0010741000005509704,0.6298163999999815
47,0.8714285714285714,0.9019607843137255,0.92,0.75,0.9055118110236221,"{'C': 50, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.6347667000009096,0.0008875000003172318,0.6356542000012269
48,0.9142857142857143,0.8928571428571429,1.0,0.7,0.9124087591240876,"{'C': 50, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.6578202000000601,0.0010277000001224224,0.6588479000001826
49,0.8714285714285714,0.8867924528301887,0.94,0.7,0.8969465648854962,"{'C': 20, 'Gamma': 0.05, 'Kernel': 'rbf'}",0.6344248999994306,0.0010261999996146187,0.6354510999990453
50,0.9571428571428572,0.9795918367346939,0.96,0.95,0.9756097560975608,"{'C': 30, 'Gamma': 0.04, 'Kernel': 'rbf'}",0.8425240999986272,0.0011418000012781704,0.8436658999999054
