Rodada,accuracy,precision,recall,specificity,f2,params,time_train,time_test,time_total
14,0.9,0.9387755102040817,0.92,0.85,0.9349593495934959,{'alpha': 0.001},0.8810775999991165,0.00011850000009872019,0.8811960999992152
15,0.8571428571428571,0.9,0.9,0.75,0.9000000000000001,{'alpha': 0.1333521432163324},0.9271138999993127,0.00021689999994123355,0.9273307999992539
16,0.8857142857142857,0.9038461538461539,0.94,0.75,0.9108527131782944,{'alpha': 0.4216965034285822},1.0976838000005955,0.00012549999883049168,1.097809299999426
17,0.9428571428571428,0.9791666666666666,0.94,0.95,0.9710743801652891,{'alpha': 0.001},0.9764705000015965,0.0002626999994390644,0.9767332000010356
18,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,{'alpha': 1.0},0.9610426999988704,0.00011819999963336159,0.9611608999985037
19,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,{'alpha': 0.7498942093324559},0.8930612000003748,0.00014110000120126642,0.8932023000015761
20,0.8714285714285714,0.9183673469387755,0.9,0.8,0.9146341463414633,{'alpha': 0.001},0.8927867000002152,0.000130899999930989,0.8929176000001462
21,0.8571428571428571,0.9,0.9,0.75,0.9000000000000001,{'alpha': 0.7498942093324559},0.8595645999994304,0.00013080000098852906,0.8596954000004189
22,0.9,0.9215686274509803,0.94,0.8,0.9251968503937007,{'alpha': 0.23713737056616552},0.8734991000001173,0.00014679999912914354,0.8736458999992465
23,0.9,0.9777777777777777,0.88,0.95,0.9565217391304349,{'alpha': 0.001},0.8868495000006078,0.00012930000048072543,0.8869788000010885
24,0.8428571428571429,0.8679245283018868,0.92,0.65,0.8778625954198475,{'alpha': 0.5623413251903491},0.8550761000005878,0.00012430000060703605,0.8552004000011948
25,0.9,0.9777777777777777,0.88,0.95,0.9565217391304349,{'alpha': 1.0},0.8930166999998619,0.00012140000035287812,0.8931381000002148
26,0.9142857142857143,0.9230769230769231,0.96,0.8,0.9302325581395349,{'alpha': 0.001},0.8918455999992148,0.00013349999971978832,0.8919790999989345
27,0.8428571428571429,0.9148936170212766,0.86,0.8,0.903361344537815,{'alpha': 0.7498942093324559},1.2057411999994656,0.0004034000012325123,1.2061446000006981
28,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,{'alpha': 0.7498942093324559},1.2174228000003495,0.0001551000004837988,1.2175779000008333
29,0.8857142857142857,0.9772727272727273,0.86,0.95,0.9513274336283186,{'alpha': 0.7498942093324559},1.0178849000003538,0.00014170000031299423,1.0180266000006668
30,0.9285714285714286,0.9411764705882353,0.96,0.85,0.9448818897637795,{'alpha': 1.0},1.0331898999993427,0.00014120000014372636,1.0333310999994865
31,0.9571428571428572,0.9607843137254902,0.98,0.9,0.9645669291338583,{'alpha': 0.4216965034285822},1.0852068999993207,0.00014210000153980218,1.0853490000008605
32,0.8714285714285714,0.9019607843137255,0.92,0.75,0.9055118110236221,{'alpha': 0.001},1.0214737000005698,0.00014999999984866008,1.0216237000004185
33,0.9142857142857143,0.94,0.94,0.85,0.94,{'alpha': 0.001},1.1498205999996571,0.00014180000107444357,1.1499624000007316
34,0.9714285714285714,0.98,0.98,0.95,0.9799999999999999,{'alpha': 1.0},1.0509151000005659,0.00014290000035543926,1.0510580000009213
35,0.8714285714285714,0.9019607843137255,0.92,0.75,0.9055118110236221,{'alpha': 0.4216965034285822},1.0167934000000969,0.00013919999946665484,1.0169325999995635
36,0.8857142857142857,0.875,0.98,0.65,0.8941605839416058,{'alpha': 0.1},1.1612218000009307,0.0001432999997632578,1.161365100000694
